community_id,size
0,408
1,351
2,336
3,594
4,1162
5,327
6,97
8,340
9,130
10,145
11,1269
13,180
14,305
60,640
16,441
41,416
18,80
19,64
20,1707
21,129
22,372
23,195
24,549
25,97
26,288
27,214
28,126
30,43
31,73
32,106
40,319
34,321
35,128
36,79
37,5
39,188
42,7
43,63
44,112
45,21
46,277
47,67
48,168
49,28
50,188
51,23
52,36
53,68
54,2
55,20
56,1
57,56
58,254
59,2
61,7
62,13
63,199
64,14
65,4
66,13
67,7
68,78
69,1
70,6
71,39
72,157
73,21
74,35
75,23
76,5
77,4
78,4
79,1
80,5
81,12
82,59
83,1
84,2
85,1
86,2
87,7
88,20
89,14
90,11
91,6
92,7
93,5
94,13
95,3
96,17
97,6
98,1
99,3
100,1
101,2
102,6
103,7
104,1
105,2
106,5
107,3
108,6
109,4
110,1
111,1
112,1
113,6
114,1
115,1
116,1
117,2
118,1
119,2
120,1
33,1
38,1
7,1
12,1
15,1
17,1
29,1
