community_id,size
0,405
7,352
2,244
3,538
11,1256
5,320
6,94
8,274
9,130
12,142
13,86
14,1177
15,199
16,160
17,303
18,627
19,622
20,262
21,80
22,59
23,1697
24,374
25,103
26,600
27,97
28,294
29,208
30,50
31,126
32,43
33,73
34,108
43,319
36,320
38,128
39,1
40,5
42,61
44,118
45,7
46,110
47,59
48,112
49,2
51,76
52,20
53,272
54,67
55,147
56,28
57,8
58,23
59,65
61,2
62,18
63,1
64,8
65,1
66,52
67,244
68,9
69,2
71,7
72,13
73,13
74,199
75,14
76,4
77,13
78,2
79,78
80,1
81,1
82,6
83,5
84,38
85,6
86,2
87,157
88,19
89,18
90,23
91,9
92,5
93,20
94,8
95,4
96,4
97,1
98,2
99,7
100,5
101,3
102,7
103,12
104,59
105,1
106,2
107,1
108,9
109,5
110,2
111,7
112,5
113,7
114,3
115,3
116,1
117,3
118,2
119,9
120,3
121,20
122,14
123,1
124,11
125,5
126,3
127,4
128,8
129,1
130,13
131,2
132,17
133,6
134,3
135,1
136,2
137,1
138,10
139,3
140,1
141,1
142,2
143,6
144,1
145,1
146,8
147,7
148,3
149,1
150,2
151,1
152,2
153,2
154,5
155,3
156,5
157,3
158,1
159,2
160,6
161,1
162,2
163,4
164,2
165,3
166,5
167,1
168,1
169,1
170,1
171,1
172,1
173,6
174,1
175,1
176,1
177,2
178,1
179,14
180,1
181,2
182,1
183,1
184,1
185,2
186,1
187,1
188,1
189,2
190,1
191,1
192,1
193,2
194,1
195,2
196,1
197,2
198,1
199,1
200,1
201,3
202,1
203,1
204,2
205,1
206,1
207,1
208,1
209,1
210,2
211,1
212,1
1,1
35,1
4,1
37,1
70,1
41,1
10,1
50,1
60,1
