community_id,size
0,1565
1,1149
2,1099
3,617
4,613
5,536
6,476
7,389
8,366
9,360
10,332
11,315
12,308
13,305
14,304
15,274
16,273
17,236
18,219
19,210
20,173
21,169
22,165
23,158
24,157
25,143
26,142
27,137
28,129
29,127
30,126
31,120
32,119
33,92
34,90
35,85
36,78
37,70
38,67
39,65
40,65
41,59
42,56
43,55
44,52
45,48
46,47
47,47
48,45
49,41
50,37
51,36
52,30
53,29
54,28
55,28
56,27
57,25
58,24
59,23
60,22
61,22
62,22
63,21
64,21
65,20
66,20
67,20
68,20
69,19
70,19
71,19
72,19
73,18
74,18
75,18
76,17
77,17
78,17
79,17
80,17
81,15
82,15
83,14
84,14
85,14
86,13
87,13
88,12
89,12
90,12
91,12
92,12
93,12
94,12
95,11
96,11
97,10
98,10
99,9
100,9
101,9
102,9
103,9
104,8
105,8
106,8
107,8
108,8
109,8
110,8
111,8
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,7
120,7
121,7
122,7
123,7
124,7
125,7
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,5
135,5
136,5
137,5
138,5
139,5
140,5
141,5
142,5
143,5
144,5
145,5
146,5
147,5
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,4
159,3
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,2
202,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
240,2
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
