community_id,size
0,1668
1,1404
2,1275
3,676
4,646
5,596
6,582
7,389
8,371
9,353
10,339
11,326
12,320
13,316
14,312
15,295
16,282
17,272
18,254
19,254
20,248
21,213
22,188
23,184
24,175
25,168
26,167
27,157
28,145
29,130
30,129
31,126
32,113
33,106
34,97
35,95
36,80
37,79
38,69
39,68
40,67
41,64
42,59
43,56
44,43
45,39
46,36
47,35
48,28
49,23
50,23
51,21
52,21
53,20
54,20
55,17
56,14
57,14
58,13
59,13
60,13
61,12
62,11
63,9
64,7
65,7
66,7
67,7
68,7
69,7
70,6
71,6
72,6
73,6
74,6
75,6
76,5
77,5
78,5
79,5
80,5
81,4
82,4
83,4
84,4
85,3
86,3
87,3
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
