community_id,size
0,603
2,62
3,227
4,556
5,1215
6,277
7,92
8,202
9,269
10,129
11,605
13,142
16,1144
15,224
17,120
18,8
19,171
57,581
21,243
22,78
23,59
24,1376
25,253
26,366
27,36
28,90
29,192
30,157
31,24
32,126
34,32
35,27
36,55
37,101
38,339
39,376
41,142
43,1
44,5
45,481
46,45
47,19
49,109
50,7
51,1
52,85
53,56
54,28
55,47
56,2
58,3
59,7
60,20
61,245
62,67
63,137
64,22
65,28
67,7
68,7
69,17
70,23
71,65
72,29
73,2
74,18
75,1
76,5
77,8
78,1
79,70
80,18
81,22
82,236
83,65
84,9
85,41
86,12
87,2
88,37
89,48
90,17
91,7
92,13
93,1
94,2
95,12
96,199
97,2
98,12
99,2
100,4
101,14
102,3
103,2
104,5
105,21
106,78
107,1
108,7
109,2
111,12
112,47
113,2
114,19
115,1
116,6
117,5
118,18
119,6
120,2
121,25
122,2
123,157
124,20
125,10
126,19
128,6
129,17
130,12
131,22
132,5
133,5
134,4
135,20
136,8
137,4
138,1
139,4
140,15
141,3
142,2
143,1
144,6
145,1
146,2
147,7
148,5
149,2
150,1
151,4
152,7
153,12
154,2
155,1
156,52
157,7
158,3
160,21
161,1
162,1
163,1
164,8
165,15
166,2
167,2
168,2
169,1
170,9
171,4
172,2
173,7
174,5
175,1
176,2
177,3
178,19
179,9
180,3
181,2
182,1
183,3
184,3
185,6
186,17
187,2
188,2
189,9
190,3
191,1
192,3
193,4
194,2
195,2
196,3
197,1
198,1
199,2
200,7
201,4
202,1
203,20
204,14
205,1
206,11
207,3
208,2
209,1
210,3
211,2
212,9
213,4
214,2
215,5
216,1
217,1
218,1
219,13
220,3
221,1
222,1
223,1
224,17
225,3
226,6
227,2
228,2
229,1
230,2
231,1
232,10
233,3
234,1
235,1
236,2
237,3
238,1
239,2
240,8
241,1
242,1
243,2
244,1
245,2
246,1
247,1
248,1
249,2
250,7
251,1
252,1
253,7
254,3
255,3
256,3
257,1
258,1
259,8
260,2
261,3
262,1
263,2
264,1
265,1
266,2
267,3
268,2
269,8
270,5
271,2
272,5
273,1
274,3
275,1
276,3
277,5
278,3
279,1
280,3
281,1
282,1
283,1
284,2
285,2
286,5
287,6
288,1
289,2
290,4
291,2
292,1
293,1
294,3
295,5
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,6
307,2
308,1
309,1
310,1
311,1
312,1
313,1
314,2
315,1
316,1
317,14
318,1
319,1
320,2
321,1
322,1
323,1
324,2
325,4
326,2
327,1
328,1
329,2
330,1
331,1
332,1
333,2
334,1
335,1
336,1
337,1
338,1
339,2
340,1
341,1
342,1
343,1
344,1
345,2
346,1
347,2
348,2
349,1
350,1
351,1
352,1
353,2
354,1
355,1
356,2
357,1
358,1
359,1
360,1
361,1
362,7
363,3
364,1
365,1
366,1
367,1
368,2
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,2
381,1
382,1
383,1
384,1
385,1
386,2
387,1
388,1
159,1
1,1
33,1
66,1
40,1
42,1
12,1
14,1
110,1
48,1
20,1
127,1
